"mu","sigma","item_overlap","class_overlap","n_preferred","frac_detected","frac_ob_lt_ow","mean_ob","mean_ow","sd_ob","sd_ow","n_both","mean_log_ratio","sd_log_ratio","n_ob_lt_ow"
10,0.5,0.5,0.2,50,1,1,0.001,0.237137370566165,0,0,50,5.46863959586086,0,50
10,0.5,0.5,0.3,50,1,1,0.001,0.237137370566165,0,0,50,5.46863959586086,0,50
10,0.5,0.5,0.4,50,1,1,0.001,0.237137370566165,0,0,50,5.46863959586086,0,50
10,0.5,0.6,0.2,50,1,1,0.001,0.316227766016838,0,0,50,5.75646273248511,0,50
10,0.5,0.6,0.3,50,1,1,0.001,0.316227766016838,0,0,50,5.75646273248511,0,50
10,0.5,0.6,0.4,50,1,1,0.001,0.316227766016838,0,0,50,5.75646273248511,0,50
10,0.5,0.7,0.2,50,1,1,0.001,0.316227766016838,0,0,50,5.75646273248511,0,50
10,0.5,0.7,0.3,50,1,1,0.001,0.316227766016838,0,0,50,5.75646273248511,0,50
10,0.5,0.7,0.4,50,1,1,0.001,0.316227766016838,0,0,50,5.75646273248511,0,50
10,1,0.5,0.2,50,1,1,0.001,0.177827941003892,0,0,50,5.1808164592366,0,50
10,1,0.5,0.3,50,1,1,0.00283609783844085,0.177827941003892,0.00444754934366673,0,50,4.73756882883525,0.910566667192494,50
10,1,0.5,0.4,50,1,0.74,0.120123378729504,0.177827941003892,0.0863038558097856,0,50,1.20574557234486,1.33774614742891,37
10,1,0.6,0.2,50,1,1,0.001,0.177827941003892,0,0,50,5.1808164592366,0,50
10,1,0.6,0.3,50,1,1,0.001,0.177827941003892,0,0,50,5.1808164592366,0,50
10,1,0.6,0.4,50,1,1,0.00213854836508273,0.177827941003892,0.00311476737821992,0,50,4.85269808348495,0.749220728371659,50
10,1,0.7,0.2,50,1,1,0.001,0.202737901420047,0,0.0295698656378992,50,5.30170217661879,0.143499803324221,50
10,1,0.7,0.3,50,1,1,0.001,0.202737901420047,0,0.0295698656378992,50,5.30170217661879,0.143499803324221,50
10,1,0.7,0.4,50,1,1,0.001,0.202737901420047,0,0.0295698656378992,50,5.30170217661879,0.143499803324221,50
10,1.5,0.5,0.2,50,1,0.56,0.132564879171707,0.133352143216332,0.0862106367677099,0,50,0.853190012136186,0.863405954468686,28
10,1.5,0.5,0.3,50,0.92,0.08,0.435210956859397,0.133352143216332,0.246395788363328,0,46,0.935425194028831,0.638206296362265,4
10,1.5,0.5,0.4,50,0.08,0.02,0.400131111108119,0.133352143216332,0.435519648733596,0,4,4.89299332261235,NA,1
10,1.5,0.6,0.2,50,1,1,0.041295350754505,0.134241659172084,0.0296890434765404,0.00628982764285306,50,1.74420820794299,1.42127757412738,50
10,1.5,0.6,0.3,50,1,0.64,0.104203273436354,0.135131175127835,0.0657698010523731,0.00880392474002438,50,1.10632018139948,1.15848740405702,32
10,1.5,0.6,0.4,50,0.94,0.14,0.415115584575244,0.133352143216332,0.268839374841173,0,47,2.13811472920876,1.90091978621656,7
10,1.5,0.7,0.2,50,1,1,0.0153072843318503,0.135131175127835,0.0144438942425973,0.00880392474002438,50,2.84944905258013,1.38981106840974,50
10,1.5,0.7,0.3,50,1,1,0.0460031858173033,0.135131175127835,0.0260440717928701,0.00880392474002438,50,1.41608983219134,1.15252541411406,50
10,1.5,0.7,0.4,50,1,0.58,0.123309290522037,0.135131175127835,0.0912774433183028,0.00880392474002438,50,1.29024164693632,1.53003435234724,29
30,0.5,0.5,0.2,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50
30,0.5,0.5,0.3,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50
30,0.5,0.5,0.4,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50
30,0.5,0.6,0.2,50,1,1,0.001,0.149363430419854,0,0.0215651233469248,50,4.99660965179708,0.139557731444156,50
30,0.5,0.6,0.3,50,1,1,0.001,0.140468270862342,0,0.016470635018057,50,4.93904502447223,0.106588978026527,50
30,0.5,0.6,0.4,50,1,1,0.001,0.143136818729596,0,0.0186109846498697,50,4.95631441266968,0.120440154961979,50
30,0.5,0.7,0.2,50,1,1,0.001,0.177827941003892,0,0,50,5.1808164592366,0,50
30,0.5,0.7,0.3,50,1,1,0.001,0.177827941003892,0,0,50,5.1808164592366,0,50
30,0.5,0.7,0.4,50,1,1,0.001,0.177827941003892,0,0,50,5.1808164592366,0,50
30,1,0.5,0.2,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
30,1,0.5,0.3,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
30,1,0.5,0.4,50,1,1,0.0178105791182522,0.1,0.0172260290559244,0,50,2.40044495944629,1.38537606017924,50
30,1,0.6,0.2,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
30,1,0.6,0.3,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
30,1,0.6,0.4,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
30,1,0.7,0.2,50,1,1,0.001,0.113340857286533,0,0.0165050304548575,50,4.72029944063779,0.142435513207728,50
30,1,0.7,0.3,50,1,1,0.001,0.112673814422206,0,0.0163530344715179,50,4.71454297790531,0.14112381457429,50
30,1,0.7,0.4,50,1,1,0.001,0.110672685829226,0,0.0157159324939047,50,4.69727358970785,0.135625736434101,50
30,1.5,0.5,0.2,50,1,1,0.0195430959476921,0.0749894209332456,0.0136081295295016,0,50,1.72118235701305,1.05069726426259,50
30,1.5,0.5,0.3,50,1,0.62,0.0583091863521172,0.0749894209332456,0.0321602025745099,0,50,0.937746348356446,1.00248359667366,31
30,1.5,0.5,0.4,50,0.94,0.04,0.480906946522977,0.0749894209332456,0.285143098467885,0,47,2.30258509299405,2.84930368365151,2
30,1.5,0.6,0.2,50,1,1,0.00548170283882161,0.0754896325145807,0.005013492738994,0.00353703001190087,50,3.14302865193687,1.09998585909672,50
30,1.5,0.6,0.3,50,1,1,0.015036614882667,0.0749894209332456,0.0116656620874826,0,50,2.12413474828701,1.24293519554184,50
30,1.5,0.6,0.4,50,1,0.58,0.0592107390926533,0.0754896325145807,0.0363429845987809,0.00353703001190087,50,1.240616968208,1.37842826096504,29
30,1.5,0.7,0.2,50,1,1,0.00157929957132831,0.0759898440959158,0.00138429697241433,0.00495081070518139,50,4.07557561459946,0.558836316829459,50
30,1.5,0.7,0.3,50,1,1,0.00620512774985622,0.0759898440959158,0.00484910593515585,0.00495081070518139,50,2.88398782897504,0.968648762543181,50
30,1.5,0.7,0.4,50,1,1,0.019628962795147,0.0759898440959158,0.0150434045940361,0.00495081070518139,50,1.79601637253536,1.15504575138822,50
60,0.5,0.5,0.2,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
60,0.5,0.5,0.3,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
60,0.5,0.5,0.4,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
60,0.5,0.6,0.2,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50
60,0.5,0.6,0.3,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50
60,0.5,0.6,0.4,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50
60,0.5,0.7,0.2,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50
60,0.5,0.7,0.3,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50
60,0.5,0.7,0.4,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50
60,1,0.5,0.2,50,1,1,0.001,0.0749894209332456,0,0,50,4.31734704936384,0,50
60,1,0.5,0.3,50,1,1,0.001,0.0749894209332456,0,0,50,4.31734704936384,0,50
60,1,0.5,0.4,50,1,1,0.00807051585482238,0.0749894209332456,0.00940141807298068,0,50,2.95306538176486,1.27372979255081,50
60,1,0.6,0.2,50,1,1,0.001,0.0934972494426438,0,0.0110818748945524,50,4.53033617046578,0.127530833385122,50
60,1,0.6,0.3,50,1,1,0.001,0.0904959799546333,0,0.0122630458552053,50,4.49579739407087,0.14112381457429,50
60,1,0.6,0.4,50,1,1,0.001,0.0899957683732982,0,0.0123770267629535,50,4.49004093133839,0.142435513207728,50
60,1,0.7,0.2,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
60,1,0.7,0.3,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
60,1,0.7,0.4,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
60,1.5,0.5,0.2,50,1,1,0.00825796865898298,0.0569843440556033,0.00695532915725433,0.00371258427931667,50,2.39468849671381,1.09474765470093,50
60,1.5,0.5,0.3,50,1,0.94,0.0255170829639583,0.0592349786653086,0.0135499513594087,0.00694560919636301,50,1.16354033954486,0.941221354179021,47
60,1.5,0.5,0.4,50,1,0.04,0.18089380581828,0.0577345555921717,0.124898332798371,0.00513984019461106,50,1.72693881974553,1.62817353351515,2
60,1.5,0.6,0.2,50,1,1,0.00229151681466347,0.0682375171041297,0.00194247718528338,0.00909393711140426,50,3.66111029786053,0.742488519431445,50
60,1.5,0.6,0.3,50,1,1,0.00621555026215662,0.0656117767261402,0.00559008933440462,0.00947285115771277,50,2.83217966438268,1.11603776748548,50
60,1.5,0.6,0.4,50,1,0.98,0.0246565662549085,0.0648615651895718,0.0151260749686112,0.00944248937718336,50,1.36862838435615,1.13244568803901,49
60,1.5,0.7,0.2,50,1,1,0.0010340979027565,0.0723636805552561,0.000198657177666003,0.00657391300531551,50,4.2540259593065,0.157002447874675,50
60,1.5,0.7,0.3,50,1,1,0.00233072802591902,0.0738641036283929,0.00193788185094452,0.00449935500745099,50,3.74170077611532,0.735533827416051,50
60,1.5,0.7,0.4,50,1,1,0.00834073451640052,0.0723636805552561,0.0066937281417846,0.00657391300531551,50,2.5904082296183,1.06905736460438,50
100,0.5,0.5,0.2,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
100,0.5,0.5,0.3,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
100,0.5,0.5,0.4,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
100,0.5,0.6,0.2,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
100,0.5,0.6,0.3,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
100,0.5,0.6,0.4,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
100,0.5,0.7,0.2,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50
100,0.5,0.7,0.3,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50
100,0.5,0.7,0.4,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50
100,1,0.5,0.2,50,1,1,0.001,0.0749894209332456,0,0,50,4.31734704936384,0,50
100,1,0.5,0.3,50,1,1,0.001,0.0749894209332456,0,0,50,4.31734704936384,0,50
100,1,0.5,0.4,50,1,1,0.00543211238509649,0.0749894209332456,0.00636257495673087,0,50,3.26391436931906,1.14038880550622,50
100,1,0.6,0.2,50,1,1,0.001,0.0749894209332456,0,0,50,4.31734704936384,0,50
100,1,0.6,0.3,50,1,1,0.001,0.0749894209332456,0,0,50,4.31734704936384,0,50
100,1,0.6,0.4,50,1,1,0.001,0.0749894209332456,0,0,50,4.31734704936384,0,50
100,1,0.7,0.2,50,1,1,0.001,0.0754896325145807,0,0.00353703001190087,50,4.32310351209632,0.0407043383378786,50
100,1,0.7,0.3,50,1,1,0.001,0.0749894209332456,0,0,50,4.31734704936384,0,50
100,1,0.7,0.4,50,1,1,0.001,0.0749894209332456,0,0,50,4.31734704936384,0,50
100,1.5,0.5,0.2,50,1,1,0.00508189314422113,0.0562341325190349,0.00450445387447406,0,50,2.85520551531262,1.01526317966253,50
100,1.5,0.5,0.3,50,1,1,0.0163181427629357,0.0562341325190349,0.00914972399205992,0,50,1.49668031044613,0.902716084647004,50
100,1.5,0.5,0.4,50,1,0.16,0.106622737033713,0.0562341325190349,0.0686739691633307,0,50,0.647602057404575,0.700810709720569,8
100,1.5,0.6,0.2,50,1,1,0.00152495202576582,0.0562341325190349,0.00109400813071562,0,50,3.75897016431278,0.491385317908886,50
100,1.5,0.6,0.3,50,1,1,0.00420429713275078,0.0562341325190349,0.00424629760285838,0,50,3.07395109914705,0.98414591026028,50
100,1.5,0.6,0.4,50,1,0.98,0.0171120490227548,0.0562341325190349,0.0113000464188087,0,50,1.59771210534281,1.09294057913787,49
100,1.5,0.7,0.2,50,1,1,0.001,0.0562341325190349,0,0,50,4.02952391273958,0,50
100,1.5,0.7,0.3,50,1,1,0.00151865880433652,0.0562341325190349,0.00104995404815927,0,50,3.75897016431278,0.487932595842868,50
100,1.5,0.7,0.4,50,1,1,0.00557549514145232,0.0562341325190349,0.00439278157678739,0,50,2.71129394700049,0.981824017180226,50
