"mu","sigma","item_overlap","class_overlap","n_preferred","frac_detected","frac_ob_lt_ow","mean_ob","mean_ow","sd_ob","sd_ow","n_both","mean_log_ratio","sd_log_ratio","n_ob_lt_ow"
10,0.5,0.5,0.2,50,1,1,0.001,0.237137370566165,0,0,50,5.46863959586086,0,50
10,0.5,0.5,0.3,50,1,1,0.001,0.237137370566165,0,0,50,5.46863959586086,0,50
10,0.5,0.5,0.4,50,1,1,0.001,0.237137370566165,0,0,50,5.46863959586086,0,50
10,0.5,0.6,0.2,50,1,1,0.001,0.316227766016838,0,0,50,5.75646273248511,0,50
10,0.5,0.6,0.3,50,1,1,0.001,0.316227766016838,0,0,50,5.75646273248511,0,50
10,0.5,0.6,0.4,50,1,1,0.001,0.316227766016838,0,0,50,5.75646273248511,0,50
10,0.5,0.7,0.2,50,1,1,0.001,0.316227766016838,0,0,50,5.75646273248511,0,50
10,0.5,0.7,0.3,50,1,1,0.001,0.316227766016838,0,0,50,5.75646273248511,0,50
10,0.5,0.7,0.4,50,1,1,0.001,0.316227766016838,0,0,50,5.75646273248511,0,50
10,1,0.5,0.2,50,1,1,0.00292862462871899,0.177827941003892,0.00520391899159303,0,50,4.72605590337028,0.899131815959619,50
10,1,0.5,0.3,50,1,1,0.032408209894648,0.177827941003892,0.0337364856802415,0,50,2.515574214096,1.57412187099902,50
10,1,0.5,0.4,50,0.98,0.24,0.390962141849192,0.177827941003892,0.276226860445756,0,49,1.41513042173592,1.42839138061579,12
10,1,0.6,0.2,50,1,1,0.001,0.179014129595138,0,0.00838761996635785,50,5.18657292196909,0.0407043383378786,50
10,1,0.6,0.3,50,1,1,0.00263592506792311,0.177827941003892,0.00501893705422378,0,50,4.82391576982253,0.857693629933718,50
10,1,0.6,0.4,50,1,1,0.0278977009492824,0.179014129595138,0.0267154394266907,0.00838761996635785,50,2.67675517060558,1.64290375840103,50
10,1,0.7,0.2,50,1,1,0.001,0.203924090011292,0,0.0297393218425993,50,5.30745863935127,0.144322158499734,50
10,1,0.7,0.3,50,1,1,0.001,0.208668844376274,0,0.0299318113721321,50,5.33048449028122,0.145256292254962,50
10,1,0.7,0.4,50,1,1,0.00146678640759028,0.208668844376274,0.0017146820074474,0.0299318113721321,50,5.1808164592366,0.536107795586805,50
10,1.5,0.5,0.2,50,0.98,0.12,0.473255518035693,0.133352143216332,0.282692489654697,0,49,1.39114516035057,1.7688052934779,6
10,1.5,0.5,0.3,50,0.4,0.04,0.545832063464929,0.13557593310571,0.345819038512183,0.00994509072065189,20,1.87085038805766,2.23873860858333,2
10,1.5,0.5,0.4,50,0.04,0,0.370084633097121,0.133352143216332,0.271892021415232,0,2,NA,NA,0
10,1.5,0.6,0.2,50,1,0.4,0.160009609221178,0.134241659172084,0.0960443906481769,0.00628982764285306,50,1.02177213501611,1.13017488584115,20
10,1.5,0.6,0.3,50,0.98,0.12,0.398270375637491,0.133352143216332,0.259563636463251,0,49,1.29520411480915,1.78125086680384,6
10,1.5,0.6,0.4,50,0.38,0.02,0.609559559389266,0.135692974678835,0.314632492876003,0.0102034477889118,19,3.45387763949107,NA,1
10,1.5,0.7,0.2,50,1,0.78,0.0725288153282323,0.136910207039337,0.0514079888952314,0.0121884818888036,50,1.38007503971117,1.21429031691337,39
10,1.5,0.7,0.3,50,1,0.34,0.159380148898056,0.136020691083586,0.0847671871983131,0.0106696521571064,50,0.82960786438756,0.54688623646491,17
10,1.5,0.7,0.4,50,1,0.1,0.367184045682156,0.135131175127835,0.245382732628611,0.00880392474002438,50,1.38155105579643,1.97740988580461,5
30,0.5,0.5,0.2,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50
30,0.5,0.5,0.3,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50
30,0.5,0.5,0.4,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50
30,0.5,0.6,0.2,50,1,1,0.001,0.1466948825526,0,0.0205882937725713,50,4.97934026359962,0.133236222533159,50
30,0.5,0.6,0.3,50,1,1,0.001,0.148473914464103,0,0.0212824751738655,50,4.99085318906459,0.13772858643096,50
30,0.5,0.6,0.4,50,1,1,0.001,0.144915850641098,0,0.0197066699496099,50,4.96782733813465,0.127530833385122,50
30,0.5,0.7,0.2,50,1,1,0.001,0.177827941003892,0,0,50,5.1808164592366,0,50
30,0.5,0.7,0.3,50,1,1,0.001,0.177827941003892,0,0,50,5.1808164592366,0,50
30,0.5,0.7,0.4,50,1,1,0.001,0.177827941003892,0,0,50,5.1808164592366,0,50
30,1,0.5,0.2,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
30,1,0.5,0.3,50,1,1,0.00418001030927616,0.1,0.00591582001528016,0,50,3.86834295623,1.08967046497649,50
30,1,0.5,0.4,50,1,0.72,0.0613902241702213,0.1,0.0413181545622403,0,50,1.40713533460747,1.42967334685315,36
30,1,0.6,0.2,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
30,1,0.6,0.3,50,1,1,0.00101556558820078,0.1,0.000110065329699278,0,50,4.59365726052312,0.0814086766757574,50
30,1,0.6,0.4,50,1,1,0.00330398363002591,0.1,0.00434707168004533,0,50,3.96044635994976,0.958242788458968,50
30,1,0.7,0.2,50,1,1,0.001,0.112673814422206,0,0.0163530344715179,50,4.71454297790531,0.14112381457429,50
30,1,0.7,0.3,50,1,1,0.001,0.115341985879513,0,0.0167913844389564,50,4.73756882883525,0.144906697783592,50
30,1,0.7,0.4,50,1,1,0.001,0.114674943015186,0,0.0167236496552296,50,4.73181236610276,0.144322158499734,50
30,1.5,0.5,0.2,50,1,0.58,0.0564937090839688,0.0749894209332456,0.0297561094517467,0,50,1.00241851031206,1.0480327999253,29
30,1.5,0.5,0.3,50,1,0.2,0.177341519592035,0.0749894209332456,0.139525442075614,0,50,1.20885717382187,0.72814134002118,10
30,1.5,0.5,0.4,50,0.28,0,0.435339330135454,0.0749894209332456,0.277540971414909,0,14,NA,NA,0
30,1.5,0.6,0.2,50,1,1,0.0260564815226658,0.0754896325145807,0.0155071735608591,0.00353703001190087,50,1.38155105579643,1.02216710193176,50
30,1.5,0.6,0.3,50,1,0.68,0.0542514249796016,0.0749894209332456,0.0328700060335118,0,50,0.888865568986672,0.783821251609257,34
30,1.5,0.6,0.4,50,1,0.16,0.171132295637304,0.0749894209332456,0.106845905491334,0,50,1.0073809781849,1.36743038267524,8
30,1.5,0.7,0.2,50,1,1,0.0107757581439186,0.0779906904212561,0.00769373385778693,0.00820999075858075,50,2.38893203398132,1.09136032223271,50
30,1.5,0.7,0.3,50,1,1,0.0255055801363354,0.0769902672585859,0.0135107884133516,0.00685408705740834,50,1.32398642847158,0.85461307924637,50
30,1.5,0.7,0.4,50,1,0.7,0.0541534395667283,0.0769902672585859,0.0282168919346386,0.00685408705740834,50,0.855245891683503,0.806526489497013,35
60,0.5,0.5,0.2,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
60,0.5,0.5,0.3,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
60,0.5,0.5,0.4,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
60,0.5,0.6,0.2,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50
60,0.5,0.6,0.3,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50
60,0.5,0.6,0.4,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50
60,0.5,0.7,0.2,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50
60,0.5,0.7,0.3,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50
60,0.5,0.7,0.4,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50
60,1,0.5,0.2,50,1,1,0.001,0.0749894209332456,0,0,50,4.31734704936384,0,50
60,1,0.5,0.3,50,1,1,0.00171723106071422,0.0749894209332456,0.00203842706855931,0,50,4.04679330093704,0.599837870280339,50
60,1,0.5,0.4,50,1,0.92,0.0304076091424301,0.0749894209332456,0.0209060999029672,0,50,1.45162973253972,1.19669911970472,46
60,1,0.6,0.2,50,1,1,0.001,0.0914964031173035,0,0.0119680152926022,50,4.50731031953584,0.137728586430959,50
60,1,0.6,0.3,50,1,1,0.001,0.0909961915359684,0,0.012126960040803,50,4.50155385680336,0.139557731444155,50
60,1,0.6,0.4,50,1,1,0.00147612234627037,0.0909961915359684,0.00162893502290656,0.012126960040803,50,4.32310351209632,0.53765082688346,50
60,1,0.7,0.2,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
60,1,0.7,0.3,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
60,1,0.7,0.4,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
60,1.5,0.5,0.2,50,1,0.96,0.0255072022486244,0.0592349786653086,0.0146543612437507,0.00694560919636301,50,1.15129254649702,0.894550162969196,48
60,1.5,0.5,0.3,50,1,0.34,0.0698270012375039,0.059985190201877,0.0441900232736401,0.00757828092617022,50,1.11743100101182,0.903796461038745,17
60,1.5,0.5,0.4,50,0.9,0.04,0.484083261036554,0.0616523269498069,0.297633612188189,0.00859681967551844,45,0.431734704936384,0.203521691689393,2
60,1.5,0.6,0.2,50,1,1,0.0118755556561607,0.0656117767261402,0.0070102917357248,0.00947285115771277,50,2.02051841910228,1.04099801426618,50
60,1.5,0.6,0.3,50,1,0.94,0.0258049833894677,0.0648615651895718,0.0157121843903433,0.00944248937718336,50,1.23702709783191,0.798259290047068,47
60,1.5,0.6,0.4,50,1,0.4,0.0685057869106685,0.0644864594212876,0.0381147938751181,0.00940439930914097,50,0.834687096210342,0.5824232450244,20
60,1.5,0.7,0.2,50,1,1,0.00487847485234296,0.0719885747869719,0.00405232539972439,0.00694560919636301,50,3.10273341280948,1.00261179629581,50
60,1.5,0.7,0.3,50,1,1,0.0115050636996548,0.0716134690186877,0.00668221845367038,0.00727870114146534,50,2.06081365822967,0.847381577249881,50
60,1.5,0.7,0.4,50,1,0.98,0.0251674100479239,0.0719885747869719,0.013584191668573,0.00694560919636301,50,1.29226714402727,0.833202098606449,49
100,0.5,0.5,0.2,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
100,0.5,0.5,0.3,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
100,0.5,0.5,0.4,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
100,0.5,0.6,0.2,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
100,0.5,0.6,0.3,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
100,0.5,0.6,0.4,50,1,1,0.001,0.1,0,0,50,4.60517018598809,0,50
100,0.5,0.7,0.2,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50
100,0.5,0.7,0.3,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50
100,0.5,0.7,0.4,50,1,1,0.001,0.133352143216332,0,0,50,4.89299332261235,0,50
100,1,0.5,0.2,50,1,1,0.001,0.0749894209332456,0,0,50,4.31734704936384,0,50
100,1,0.5,0.3,50,1,1,0.00131490715171544,0.0749894209332456,0.00109702360214732,0,50,4.17919194378419,0.420285341977012,50
100,1,0.5,0.4,50,1,1,0.021822750795854,0.0749894209332456,0.0155259920647171,0,50,1.68664358061814,1.21280863341048,50
100,1,0.6,0.2,50,1,1,0.001,0.0749894209332456,0,0,50,4.31734704936384,0,50
100,1,0.6,0.3,50,1,1,0.001,0.0749894209332456,0,0,50,4.31734704936384,0,50
100,1,0.6,0.4,50,1,1,0.00117904358256783,0.0749894209332456,0.000793325978404495,0,50,4.23675657110904,0.323969045106197,50
100,1,0.7,0.2,50,1,1,0.001,0.0749894209332456,0,0,50,4.31734704936384,0,50
100,1,0.7,0.3,50,1,1,0.001,0.0759898440959158,0,0.00495081070518139,50,4.32885997482881,0.0569742052830913,50
100,1,0.7,0.4,50,1,1,0.001,0.0754896325145807,0,0.00353703001190087,50,4.32310351209632,0.0407043383378786,50
100,1.5,0.5,0.2,50,1,1,0.0168270885275834,0.0562341325190349,0.00946831235990786,0,50,1.47365445951619,0.896401204396601,50
100,1.5,0.5,0.3,50,1,0.62,0.0455452249482818,0.0562341325190349,0.0265921533680147,0,50,0.919177113735526,0.864809481392168,31
100,1.5,0.5,0.4,50,1,0.08,0.299872873091863,0.0562341325190349,0.210461862905174,0,50,0.503690489092447,0.143911568312128,4
100,1.5,0.6,0.2,50,1,1,0.00769234056458689,0.0562341325190349,0.00527099096825488,0,50,2.31409801845902,0.928493108732646,50
100,1.5,0.6,0.3,50,1,1,0.0166327913517144,0.0562341325190349,0.00984487331128573,0,50,1.48516738498116,0.899639359335098,50
100,1.5,0.6,0.4,50,1,0.58,0.0453994879298003,0.0562341325190349,0.0255236192002044,0,50,0.803919795398783,0.577592524077115,29
100,1.5,0.7,0.2,50,1,1,0.00292533657249788,0.0562341325190349,0.00245276961822361,0,50,3.286940220249,0.808020819180896,50
100,1.5,0.7,0.3,50,1,1,0.00772932378779066,0.0562341325190349,0.00549255099338316,0,50,2.2795592420641,0.85627321444627,50
100,1.5,0.7,0.4,50,1,1,0.0168658413692412,0.0566092382873191,0.00983335525815831,0.00265239832415958,50,1.43911568312128,0.801529405815564,50
