"mu","sigma","item_overlap","class_overlap","add_k","n_preferred","seed","ob_nobs","ow_nobs"
10,0.5,0.5,0.2,0.001,50,1,36,1
10,0.5,0.5,0.2,0.001,50,2,23,1
10,0.5,0.5,0.2,0.001,50,3,36,1
10,0.5,0.5,0.2,0.001,50,4,36,1
10,0.5,0.5,0.2,0.001,50,5,36,1
10,0.5,0.5,0.2,0.001,50,6,36,1
10,0.5,0.5,0.2,0.001,50,7,36,1
10,0.5,0.5,0.2,0.001,50,8,57,1
10,0.5,0.5,0.2,0.001,50,9,36,1
10,0.5,0.5,0.2,0.001,50,10,36,1
10,0.5,0.5,0.2,0.001,50,11,57,1
10,0.5,0.5,0.2,0.001,50,12,36,1
10,0.5,0.5,0.2,0.001,50,13,36,1
10,0.5,0.5,0.2,0.001,50,14,23,1
10,0.5,0.5,0.2,0.001,50,15,36,1
10,0.5,0.5,0.2,0.001,50,16,36,1
10,0.5,0.5,0.2,0.001,50,17,23,1
10,0.5,0.5,0.2,0.001,50,18,57,1
10,0.5,0.5,0.2,0.001,50,19,36,1
10,0.5,0.5,0.2,0.001,50,20,57,1
10,0.5,0.5,0.2,0.001,50,21,57,1
10,0.5,0.5,0.2,0.001,50,22,23,1
10,0.5,0.5,0.2,0.001,50,23,36,1
10,0.5,0.5,0.2,0.001,50,24,36,1
10,0.5,0.5,0.2,0.001,50,25,36,1
10,0.5,0.5,0.2,0.001,50,26,36,1
10,0.5,0.5,0.2,0.001,50,27,36,1
10,0.5,0.5,0.2,0.001,50,28,36,1
10,0.5,0.5,0.2,0.001,50,29,36,1
10,0.5,0.5,0.2,0.001,50,30,57,1
10,0.5,0.5,0.2,0.001,50,31,57,1
10,0.5,0.5,0.2,0.001,50,32,57,1
10,0.5,0.5,0.2,0.001,50,33,36,1
10,0.5,0.5,0.2,0.001,50,34,36,1
10,0.5,0.5,0.2,0.001,50,35,57,1
10,0.5,0.5,0.2,0.001,50,36,36,1
10,0.5,0.5,0.2,0.001,50,37,57,1
10,0.5,0.5,0.2,0.001,50,38,36,1
10,0.5,0.5,0.2,0.001,50,39,23,1
10,0.5,0.5,0.2,0.001,50,40,36,1
10,0.5,0.5,0.2,0.001,50,41,36,1
10,0.5,0.5,0.2,0.001,50,42,36,1
10,0.5,0.5,0.2,0.001,50,43,36,1
10,0.5,0.5,0.2,0.001,50,44,36,1
10,0.5,0.5,0.2,0.001,50,45,23,1
10,0.5,0.5,0.2,0.001,50,46,36,1
10,0.5,0.5,0.2,0.001,50,47,57,1
10,0.5,0.5,0.2,0.001,50,48,23,1
10,0.5,0.5,0.2,0.001,50,49,36,1
10,0.5,0.5,0.2,0.001,50,50,57,1
30,0.5,0.5,0.2,0.001,50,1,15,1
30,0.5,0.5,0.2,0.001,50,2,15,1
30,0.5,0.5,0.2,0.001,50,3,15,1
30,0.5,0.5,0.2,0.001,50,4,15,1
30,0.5,0.5,0.2,0.001,50,5,15,1
30,0.5,0.5,0.2,0.001,50,6,15,1
30,0.5,0.5,0.2,0.001,50,7,15,1
30,0.5,0.5,0.2,0.001,50,8,15,1
30,0.5,0.5,0.2,0.001,50,9,15,1
30,0.5,0.5,0.2,0.001,50,10,15,1
30,0.5,0.5,0.2,0.001,50,11,15,1
30,0.5,0.5,0.2,0.001,50,12,15,1
30,0.5,0.5,0.2,0.001,50,13,15,1
30,0.5,0.5,0.2,0.001,50,14,15,1
30,0.5,0.5,0.2,0.001,50,15,15,1
30,0.5,0.5,0.2,0.001,50,16,15,1
30,0.5,0.5,0.2,0.001,50,17,15,1
30,0.5,0.5,0.2,0.001,50,18,23,1
30,0.5,0.5,0.2,0.001,50,19,15,1
30,0.5,0.5,0.2,0.001,50,20,23,1
30,0.5,0.5,0.2,0.001,50,21,15,1
30,0.5,0.5,0.2,0.001,50,22,15,1
30,0.5,0.5,0.2,0.001,50,23,15,1
30,0.5,0.5,0.2,0.001,50,24,15,1
30,0.5,0.5,0.2,0.001,50,25,15,1
30,0.5,0.5,0.2,0.001,50,26,15,1
30,0.5,0.5,0.2,0.001,50,27,23,1
30,0.5,0.5,0.2,0.001,50,28,15,1
30,0.5,0.5,0.2,0.001,50,29,15,1
30,0.5,0.5,0.2,0.001,50,30,15,1
30,0.5,0.5,0.2,0.001,50,31,15,1
30,0.5,0.5,0.2,0.001,50,32,23,1
30,0.5,0.5,0.2,0.001,50,33,23,1
30,0.5,0.5,0.2,0.001,50,34,23,1
30,0.5,0.5,0.2,0.001,50,35,15,1
30,0.5,0.5,0.2,0.001,50,36,15,1
30,0.5,0.5,0.2,0.001,50,37,15,1
30,0.5,0.5,0.2,0.001,50,38,15,1
30,0.5,0.5,0.2,0.001,50,39,15,1
30,0.5,0.5,0.2,0.001,50,40,15,1
30,0.5,0.5,0.2,0.001,50,41,15,1
30,0.5,0.5,0.2,0.001,50,42,15,1
30,0.5,0.5,0.2,0.001,50,43,15,1
30,0.5,0.5,0.2,0.001,50,44,15,1
30,0.5,0.5,0.2,0.001,50,45,15,1
30,0.5,0.5,0.2,0.001,50,46,15,1
30,0.5,0.5,0.2,0.001,50,47,23,1
30,0.5,0.5,0.2,0.001,50,48,15,1
30,0.5,0.5,0.2,0.001,50,49,9,1
30,0.5,0.5,0.2,0.001,50,50,15,1
60,0.5,0.5,0.2,0.001,50,1,15,1
60,0.5,0.5,0.2,0.001,50,2,15,1
60,0.5,0.5,0.2,0.001,50,3,9,1
60,0.5,0.5,0.2,0.001,50,4,9,1
60,0.5,0.5,0.2,0.001,50,5,15,1
60,0.5,0.5,0.2,0.001,50,6,9,1
60,0.5,0.5,0.2,0.001,50,7,15,1
60,0.5,0.5,0.2,0.001,50,8,9,1
60,0.5,0.5,0.2,0.001,50,9,9,1
60,0.5,0.5,0.2,0.001,50,10,15,1
60,0.5,0.5,0.2,0.001,50,11,15,1
60,0.5,0.5,0.2,0.001,50,12,15,1
60,0.5,0.5,0.2,0.001,50,13,15,1
60,0.5,0.5,0.2,0.001,50,14,15,1
60,0.5,0.5,0.2,0.001,50,15,9,1
60,0.5,0.5,0.2,0.001,50,16,15,1
60,0.5,0.5,0.2,0.001,50,17,9,1
60,0.5,0.5,0.2,0.001,50,18,15,1
60,0.5,0.5,0.2,0.001,50,19,15,1
60,0.5,0.5,0.2,0.001,50,20,15,1
60,0.5,0.5,0.2,0.001,50,21,15,1
60,0.5,0.5,0.2,0.001,50,22,15,1
60,0.5,0.5,0.2,0.001,50,23,9,1
60,0.5,0.5,0.2,0.001,50,24,9,1
60,0.5,0.5,0.2,0.001,50,25,9,1
60,0.5,0.5,0.2,0.001,50,26,15,1
60,0.5,0.5,0.2,0.001,50,27,9,1
60,0.5,0.5,0.2,0.001,50,28,15,1
60,0.5,0.5,0.2,0.001,50,29,15,1
60,0.5,0.5,0.2,0.001,50,30,9,1
60,0.5,0.5,0.2,0.001,50,31,15,1
60,0.5,0.5,0.2,0.001,50,32,15,1
60,0.5,0.5,0.2,0.001,50,33,15,1
60,0.5,0.5,0.2,0.001,50,34,6,1
60,0.5,0.5,0.2,0.001,50,35,9,1
60,0.5,0.5,0.2,0.001,50,36,15,1
60,0.5,0.5,0.2,0.001,50,37,9,1
60,0.5,0.5,0.2,0.001,50,38,9,1
60,0.5,0.5,0.2,0.001,50,39,15,1
60,0.5,0.5,0.2,0.001,50,40,9,1
60,0.5,0.5,0.2,0.001,50,41,15,1
60,0.5,0.5,0.2,0.001,50,42,15,1
60,0.5,0.5,0.2,0.001,50,43,15,1
60,0.5,0.5,0.2,0.001,50,44,9,1
60,0.5,0.5,0.2,0.001,50,45,9,1
60,0.5,0.5,0.2,0.001,50,46,9,1
60,0.5,0.5,0.2,0.001,50,47,15,1
60,0.5,0.5,0.2,0.001,50,48,15,1
60,0.5,0.5,0.2,0.001,50,49,6,1
60,0.5,0.5,0.2,0.001,50,50,15,1
100,0.5,0.5,0.2,0.001,50,1,15,1
100,0.5,0.5,0.2,0.001,50,2,9,1
100,0.5,0.5,0.2,0.001,50,3,15,1
100,0.5,0.5,0.2,0.001,50,4,9,1
100,0.5,0.5,0.2,0.001,50,5,9,1
100,0.5,0.5,0.2,0.001,50,6,9,1
100,0.5,0.5,0.2,0.001,50,7,9,1
100,0.5,0.5,0.2,0.001,50,8,6,1
100,0.5,0.5,0.2,0.001,50,9,9,1
100,0.5,0.5,0.2,0.001,50,10,9,1
100,0.5,0.5,0.2,0.001,50,11,15,1
100,0.5,0.5,0.2,0.001,50,12,9,1
100,0.5,0.5,0.2,0.001,50,13,9,1
100,0.5,0.5,0.2,0.001,50,14,15,1
100,0.5,0.5,0.2,0.001,50,15,9,1
100,0.5,0.5,0.2,0.001,50,16,9,1
100,0.5,0.5,0.2,0.001,50,17,9,1
100,0.5,0.5,0.2,0.001,50,18,15,1
100,0.5,0.5,0.2,0.001,50,19,15,1
100,0.5,0.5,0.2,0.001,50,20,15,1
100,0.5,0.5,0.2,0.001,50,21,15,1
100,0.5,0.5,0.2,0.001,50,22,9,1
100,0.5,0.5,0.2,0.001,50,23,6,1
100,0.5,0.5,0.2,0.001,50,24,9,1
100,0.5,0.5,0.2,0.001,50,25,15,1
100,0.5,0.5,0.2,0.001,50,26,15,1
100,0.5,0.5,0.2,0.001,50,27,15,1
100,0.5,0.5,0.2,0.001,50,28,15,1
100,0.5,0.5,0.2,0.001,50,29,15,1
100,0.5,0.5,0.2,0.001,50,30,6,1
100,0.5,0.5,0.2,0.001,50,31,15,1
100,0.5,0.5,0.2,0.001,50,32,15,1
100,0.5,0.5,0.2,0.001,50,33,15,1
100,0.5,0.5,0.2,0.001,50,34,6,1
100,0.5,0.5,0.2,0.001,50,35,9,1
100,0.5,0.5,0.2,0.001,50,36,15,1
100,0.5,0.5,0.2,0.001,50,37,9,1
100,0.5,0.5,0.2,0.001,50,38,9,1
100,0.5,0.5,0.2,0.001,50,39,6,1
100,0.5,0.5,0.2,0.001,50,40,9,1
100,0.5,0.5,0.2,0.001,50,41,15,1
100,0.5,0.5,0.2,0.001,50,42,15,1
100,0.5,0.5,0.2,0.001,50,43,15,1
100,0.5,0.5,0.2,0.001,50,44,9,1
100,0.5,0.5,0.2,0.001,50,45,9,1
100,0.5,0.5,0.2,0.001,50,46,9,1
100,0.5,0.5,0.2,0.001,50,47,15,1
100,0.5,0.5,0.2,0.001,50,48,15,1
100,0.5,0.5,0.2,0.001,50,49,15,1
100,0.5,0.5,0.2,0.001,50,50,15,1
10,1,0.5,0.2,0.001,50,1,36,1
10,1,0.5,0.2,0.001,50,2,36,1
10,1,0.5,0.2,0.001,50,3,57,1
10,1,0.5,0.2,0.001,50,4,57,1
10,1,0.5,0.2,0.001,50,5,57,1
10,1,0.5,0.2,0.001,50,6,36,1
10,1,0.5,0.2,0.001,50,7,36,1
10,1,0.5,0.2,0.001,50,8,57,1
10,1,0.5,0.2,0.001,50,9,36,1
10,1,0.5,0.2,0.001,50,10,36,1
10,1,0.5,0.2,0.001,50,11,57,1
10,1,0.5,0.2,0.001,50,12,36,1
10,1,0.5,0.2,0.001,50,13,57,1
10,1,0.5,0.2,0.001,50,14,36,1
10,1,0.5,0.2,0.001,50,15,36,1
10,1,0.5,0.2,0.001,50,16,57,1
10,1,0.5,0.2,0.001,50,17,36,1
10,1,0.5,0.2,0.001,50,18,57,1
10,1,0.5,0.2,0.001,50,19,36,1
10,1,0.5,0.2,0.001,50,20,57,1
10,1,0.5,0.2,0.001,50,21,57,1
10,1,0.5,0.2,0.001,50,22,36,1
10,1,0.5,0.2,0.001,50,23,57,1
10,1,0.5,0.2,0.001,50,24,36,1
10,1,0.5,0.2,0.001,50,25,57,1
10,1,0.5,0.2,0.001,50,26,36,1
10,1,0.5,0.2,0.001,50,27,57,1
10,1,0.5,0.2,0.001,50,28,36,1
10,1,0.5,0.2,0.001,50,29,57,1
10,1,0.5,0.2,0.001,50,30,57,1
10,1,0.5,0.2,0.001,50,31,57,1
10,1,0.5,0.2,0.001,50,32,36,1
10,1,0.5,0.2,0.001,50,33,57,1
10,1,0.5,0.2,0.001,50,34,36,1
10,1,0.5,0.2,0.001,50,35,57,1
10,1,0.5,0.2,0.001,50,36,36,1
10,1,0.5,0.2,0.001,50,37,88,1
10,1,0.5,0.2,0.001,50,38,36,1
10,1,0.5,0.2,0.001,50,39,23,1
10,1,0.5,0.2,0.001,50,40,36,1
10,1,0.5,0.2,0.001,50,41,36,1
10,1,0.5,0.2,0.001,50,42,36,1
10,1,0.5,0.2,0.001,50,43,36,1
10,1,0.5,0.2,0.001,50,44,57,1
10,1,0.5,0.2,0.001,50,45,36,1
10,1,0.5,0.2,0.001,50,46,57,1
10,1,0.5,0.2,0.001,50,47,57,1
10,1,0.5,0.2,0.001,50,48,36,1
10,1,0.5,0.2,0.001,50,49,36,1
10,1,0.5,0.2,0.001,50,50,57,1
30,1,0.5,0.2,0.001,50,1,15,1
30,1,0.5,0.2,0.001,50,2,23,1
30,1,0.5,0.2,0.001,50,3,23,1
30,1,0.5,0.2,0.001,50,4,15,1
30,1,0.5,0.2,0.001,50,5,9,1
30,1,0.5,0.2,0.001,50,6,15,1
30,1,0.5,0.2,0.001,50,7,23,1
30,1,0.5,0.2,0.001,50,8,15,1
30,1,0.5,0.2,0.001,50,9,15,1
30,1,0.5,0.2,0.001,50,10,15,1
30,1,0.5,0.2,0.001,50,11,23,1
30,1,0.5,0.2,0.001,50,12,9,1
30,1,0.5,0.2,0.001,50,13,15,1
30,1,0.5,0.2,0.001,50,14,15,1
30,1,0.5,0.2,0.001,50,15,9,1
30,1,0.5,0.2,0.001,50,16,23,1
30,1,0.5,0.2,0.001,50,17,15,1
30,1,0.5,0.2,0.001,50,18,23,1
30,1,0.5,0.2,0.001,50,19,15,1
30,1,0.5,0.2,0.001,50,20,23,1
30,1,0.5,0.2,0.001,50,21,23,1
30,1,0.5,0.2,0.001,50,22,15,1
30,1,0.5,0.2,0.001,50,23,23,1
30,1,0.5,0.2,0.001,50,24,23,1
30,1,0.5,0.2,0.001,50,25,15,1
30,1,0.5,0.2,0.001,50,26,15,1
30,1,0.5,0.2,0.001,50,27,23,1
30,1,0.5,0.2,0.001,50,28,15,1
30,1,0.5,0.2,0.001,50,29,23,1
30,1,0.5,0.2,0.001,50,30,23,1
30,1,0.5,0.2,0.001,50,31,15,1
30,1,0.5,0.2,0.001,50,32,23,1
30,1,0.5,0.2,0.001,50,33,23,1
30,1,0.5,0.2,0.001,50,34,15,1
30,1,0.5,0.2,0.001,50,35,15,1
30,1,0.5,0.2,0.001,50,36,15,1
30,1,0.5,0.2,0.001,50,37,15,1
30,1,0.5,0.2,0.001,50,38,23,1
30,1,0.5,0.2,0.001,50,39,9,1
30,1,0.5,0.2,0.001,50,40,15,1
30,1,0.5,0.2,0.001,50,41,15,1
30,1,0.5,0.2,0.001,50,42,15,1
30,1,0.5,0.2,0.001,50,43,15,1
30,1,0.5,0.2,0.001,50,44,15,1
30,1,0.5,0.2,0.001,50,45,15,1
30,1,0.5,0.2,0.001,50,46,15,1
30,1,0.5,0.2,0.001,50,47,23,1
30,1,0.5,0.2,0.001,50,48,23,1
30,1,0.5,0.2,0.001,50,49,15,1
30,1,0.5,0.2,0.001,50,50,15,1
60,1,0.5,0.2,0.001,50,1,15,1
60,1,0.5,0.2,0.001,50,2,15,1
60,1,0.5,0.2,0.001,50,3,15,1
60,1,0.5,0.2,0.001,50,4,15,1
60,1,0.5,0.2,0.001,50,5,15,1
60,1,0.5,0.2,0.001,50,6,15,1
60,1,0.5,0.2,0.001,50,7,15,1
60,1,0.5,0.2,0.001,50,8,15,1
60,1,0.5,0.2,0.001,50,9,15,1
60,1,0.5,0.2,0.001,50,10,15,1
60,1,0.5,0.2,0.001,50,11,15,1
60,1,0.5,0.2,0.001,50,12,15,1
60,1,0.5,0.2,0.001,50,13,15,1
60,1,0.5,0.2,0.001,50,14,15,1
60,1,0.5,0.2,0.001,50,15,15,1
60,1,0.5,0.2,0.001,50,16,15,1
60,1,0.5,0.2,0.001,50,17,15,1
60,1,0.5,0.2,0.001,50,18,15,1
60,1,0.5,0.2,0.001,50,19,15,1
60,1,0.5,0.2,0.001,50,20,15,1
60,1,0.5,0.2,0.001,50,21,15,1
60,1,0.5,0.2,0.001,50,22,9,1
60,1,0.5,0.2,0.001,50,23,15,1
60,1,0.5,0.2,0.001,50,24,15,1
60,1,0.5,0.2,0.001,50,25,15,1
60,1,0.5,0.2,0.001,50,26,15,1
60,1,0.5,0.2,0.001,50,27,15,1
60,1,0.5,0.2,0.001,50,28,15,1
60,1,0.5,0.2,0.001,50,29,15,1
60,1,0.5,0.2,0.001,50,30,9,1
60,1,0.5,0.2,0.001,50,31,15,1
60,1,0.5,0.2,0.001,50,32,15,1
60,1,0.5,0.2,0.001,50,33,23,1
60,1,0.5,0.2,0.001,50,34,15,1
60,1,0.5,0.2,0.001,50,35,15,1
60,1,0.5,0.2,0.001,50,36,9,1
60,1,0.5,0.2,0.001,50,37,15,1
60,1,0.5,0.2,0.001,50,38,15,1
60,1,0.5,0.2,0.001,50,39,9,1
60,1,0.5,0.2,0.001,50,40,15,1
60,1,0.5,0.2,0.001,50,41,15,1
60,1,0.5,0.2,0.001,50,42,15,1
60,1,0.5,0.2,0.001,50,43,15,1
60,1,0.5,0.2,0.001,50,44,9,1
60,1,0.5,0.2,0.001,50,45,15,1
60,1,0.5,0.2,0.001,50,46,15,1
60,1,0.5,0.2,0.001,50,47,15,1
60,1,0.5,0.2,0.001,50,48,15,1
60,1,0.5,0.2,0.001,50,49,15,1
60,1,0.5,0.2,0.001,50,50,15,1
100,1,0.5,0.2,0.001,50,1,9,1
100,1,0.5,0.2,0.001,50,2,15,1
100,1,0.5,0.2,0.001,50,3,15,1
100,1,0.5,0.2,0.001,50,4,15,1
100,1,0.5,0.2,0.001,50,5,15,1
100,1,0.5,0.2,0.001,50,6,9,1
100,1,0.5,0.2,0.001,50,7,15,1
100,1,0.5,0.2,0.001,50,8,15,1
100,1,0.5,0.2,0.001,50,9,9,1
100,1,0.5,0.2,0.001,50,10,15,1
100,1,0.5,0.2,0.001,50,11,15,1
100,1,0.5,0.2,0.001,50,12,15,1
100,1,0.5,0.2,0.001,50,13,9,1
100,1,0.5,0.2,0.001,50,14,15,1
100,1,0.5,0.2,0.001,50,15,15,1
100,1,0.5,0.2,0.001,50,16,15,1
100,1,0.5,0.2,0.001,50,17,15,1
100,1,0.5,0.2,0.001,50,18,15,1
100,1,0.5,0.2,0.001,50,19,9,1
100,1,0.5,0.2,0.001,50,20,15,1
100,1,0.5,0.2,0.001,50,21,9,1
100,1,0.5,0.2,0.001,50,22,9,1
100,1,0.5,0.2,0.001,50,23,15,1
100,1,0.5,0.2,0.001,50,24,15,1
100,1,0.5,0.2,0.001,50,25,15,1
100,1,0.5,0.2,0.001,50,26,15,1
100,1,0.5,0.2,0.001,50,27,15,1
100,1,0.5,0.2,0.001,50,28,15,1
100,1,0.5,0.2,0.001,50,29,15,1
100,1,0.5,0.2,0.001,50,30,15,1
100,1,0.5,0.2,0.001,50,31,15,1
100,1,0.5,0.2,0.001,50,32,15,1
100,1,0.5,0.2,0.001,50,33,23,1
100,1,0.5,0.2,0.001,50,34,15,1
100,1,0.5,0.2,0.001,50,35,15,1
100,1,0.5,0.2,0.001,50,36,9,1
100,1,0.5,0.2,0.001,50,37,15,1
100,1,0.5,0.2,0.001,50,38,9,1
100,1,0.5,0.2,0.001,50,39,9,1
100,1,0.5,0.2,0.001,50,40,15,1
100,1,0.5,0.2,0.001,50,41,15,1
100,1,0.5,0.2,0.001,50,42,9,1
100,1,0.5,0.2,0.001,50,43,15,1
100,1,0.5,0.2,0.001,50,44,9,1
100,1,0.5,0.2,0.001,50,45,15,1
100,1,0.5,0.2,0.001,50,46,9,1
100,1,0.5,0.2,0.001,50,47,15,1
100,1,0.5,0.2,0.001,50,48,9,1
100,1,0.5,0.2,0.001,50,49,9,1
100,1,0.5,0.2,0.001,50,50,15,1
10,1.5,0.5,0.2,0.001,50,1,57,1
10,1.5,0.5,0.2,0.001,50,2,57,1
10,1.5,0.5,0.2,0.001,50,3,57,1
10,1.5,0.5,0.2,0.001,50,4,88,1
10,1.5,0.5,0.2,0.001,50,5,139,1
10,1.5,0.5,0.2,0.001,50,6,57,1
10,1.5,0.5,0.2,0.001,50,7,57,1
10,1.5,0.5,0.2,0.001,50,8,88,1
10,1.5,0.5,0.2,0.001,50,9,57,1
10,1.5,0.5,0.2,0.001,50,10,88,1
10,1.5,0.5,0.2,0.001,50,11,139,1
10,1.5,0.5,0.2,0.001,50,12,88,1
10,1.5,0.5,0.2,0.001,50,13,88,1
10,1.5,0.5,0.2,0.001,50,14,36,1
10,1.5,0.5,0.2,0.001,50,15,57,1
10,1.5,0.5,0.2,0.001,50,16,88,1
10,1.5,0.5,0.2,0.001,50,17,88,1
10,1.5,0.5,0.2,0.001,50,18,57,1
10,1.5,0.5,0.2,0.001,50,19,23,1
10,1.5,0.5,0.2,0.001,50,20,217,1
10,1.5,0.5,0.2,0.001,50,21,88,1
10,1.5,0.5,0.2,0.001,50,22,57,1
10,1.5,0.5,0.2,0.001,50,23,57,1
10,1.5,0.5,0.2,0.001,50,24,57,1
10,1.5,0.5,0.2,0.001,50,25,88,1
10,1.5,0.5,0.2,0.001,50,26,57,1
10,1.5,0.5,0.2,0.001,50,27,88,1
10,1.5,0.5,0.2,0.001,50,28,57,1
10,1.5,0.5,0.2,0.001,50,29,57,1
10,1.5,0.5,0.2,0.001,50,30,139,1
10,1.5,0.5,0.2,0.001,50,31,57,1
10,1.5,0.5,0.2,0.001,50,32,88,1
10,1.5,0.5,0.2,0.001,50,33,57,1
10,1.5,0.5,0.2,0.001,50,34,88,1
10,1.5,0.5,0.2,0.001,50,35,88,1
10,1.5,0.5,0.2,0.001,50,36,57,1
10,1.5,0.5,0.2,0.001,50,37,139,1
10,1.5,0.5,0.2,0.001,50,38,139,1
10,1.5,0.5,0.2,0.001,50,39,23,1
10,1.5,0.5,0.2,0.001,50,40,57,1
10,1.5,0.5,0.2,0.001,50,41,57,1
10,1.5,0.5,0.2,0.001,50,42,36,1
10,1.5,0.5,0.2,0.001,50,43,57,1
10,1.5,0.5,0.2,0.001,50,44,57,1
10,1.5,0.5,0.2,0.001,50,45,36,1
10,1.5,0.5,0.2,0.001,50,46,88,1
10,1.5,0.5,0.2,0.001,50,47,139,1
10,1.5,0.5,0.2,0.001,50,48,88,1
10,1.5,0.5,0.2,0.001,50,49,57,1
10,1.5,0.5,0.2,0.001,50,50,139,1
