"mu","sigma","item_overlap","class_overlap","add_k","n_preferred","frac_detected","frac_ob_lt_ow","frac_ow_lt_ob","mean_ob_nobs","mean_ow_nobs","sd_ob_nobs","sd_ow_nobs","n_both","mean_log_ratio","sd_log_ratio","n_ob_lt_ow","frac_ob_lt_ow_ci_lo","frac_ob_lt_ow_ci_hi","frac_ow_lt_ob_ci_lo","frac_ow_lt_ob_ci_hi","mean_ob_nobs_ci_lo","mean_ob_nobs_ci_hi","mean_ow_nobs_ci_lo","mean_ow_nobs_ci_hi","mean_log_ratio_ci_lo","mean_log_ratio_ci_hi"
10,0.5,0.5,0.2,0.001,50,1,0,1,39.22,1,11.0255547317519,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,36.08657201514,42.35342798486,1,1,NA,NA
10,0.5,0.5,0.2,0.01,50,1,0,1,39.22,1,11.0255547317519,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,36.08657201514,42.35342798486,1,1,NA,NA
10,0.5,0.5,0.2,0.1,50,1,0,1,38.8,4,10.7304639761222,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,35.7504358799759,41.8495641200241,4,4,NA,NA
10,0.5,0.5,0.2,0.5,50,1,0,0.9,39.74,23,10.5343170986398,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.786397685625204,0.95652423506811,36.7461802057717,42.7338197942283,23,23,NA,NA
10,0.5,0.5,0.2,1,50,1,1,0,43.26,88,12.4864171099999,0,50,0.754577264386387,0.308701318963529,50,0.928652400866641,1,6.93889390390723e-18,0.0713475991333587,39.7113995209299,46.8086004790701,88,88,0.666845320249568,0.842309208523206
10,0.5,0.5,0.3,0.001,50,1,0,1,58.38,1,16.2655137876278,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,53.7573921285337,63.0026078714663,1,1,NA,NA
10,0.5,0.5,0.3,0.01,50,1,0,1,58.38,1,16.2655137876278,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,53.7573921285337,63.0026078714663,1,1,NA,NA
10,0.5,0.5,0.3,0.1,50,1,0,1,58.38,4,16.2655137876278,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,53.7573921285337,63.0026078714663,4,4,NA,NA
10,0.5,0.5,0.3,0.5,50,1,0,1,63.78,23,17.357336859586,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,58.8470994447255,68.7129005552745,23,23,NA,NA
10,0.5,0.5,0.3,1,50,1,0.58,0,68.34,88,17.7943008532829,0,50,0.497669316213096,0.161264233245115,29,0.442334417685782,0.70624996645288,6.93889390390723e-18,0.0713475991333587,63.282915651752,73.397084348248,88,88,0.436327682497859,0.559010949928333
10,0.5,0.5,0.4,0.001,50,1,0,1,167.62,1,69.5207765157074,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,147.862413922615,187.377586077385,1,1,NA,NA
10,0.5,0.5,0.4,0.01,50,1,0,1,167.74,1,64.7830949226347,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,149.328848133706,186.151151866294,1,1,NA,NA
10,0.5,0.5,0.4,0.1,50,1,0,1,159.46,4,64.9772990186196,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,140.993655940303,177.926344059697,4,4,NA,NA
10,0.5,0.5,0.4,0.5,50,1,0,1,161.64,23,64.5460632859533,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,143.296211779504,179.983788220496,23,23,NA,NA
10,0.5,0.5,0.4,1,50,1,0.08,0.82,167.46,88,66.193966677408,0,50,0.661174809620006,0.4537785259527,4,0.031549514088593,0.188382469183428,0.692039463256992,0.902298073297658,148.647882817492,186.272117182508,88,88,-0.0608880870476227,1.38323770628763
10,0.5,0.6,0.2,0.001,50,1,0,1,29.08,1,9.07528601899304,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,26.5008322506778,31.6591677493222,1,1,NA,NA
10,0.5,0.6,0.2,0.01,50,1,0,1,29.08,1,9.07528601899304,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,26.5008322506778,31.6591677493222,1,1,NA,NA
10,0.5,0.6,0.2,0.1,50,1,0,1,29.5,4,9.85455452559674,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,26.6993665915142,32.3006334084858,4,4,NA,NA
10,0.5,0.6,0.2,0.5,50,1,0.06,0.5,30.28,23,9.82300506827868,0,50,0.42744401482694,0,3,0.020614970348974,0.162170916888382,0.366445143168286,0.633554856831714,27.4883328480766,33.0716671519234,23,23,0.42744401482694,0.42744401482694
10,0.5,0.6,0.2,1,50,1,1,0,33.1,88,11.2961073302411,0,50,1.03457003194654,0.343672134417315,50,0.928652400866641,1,6.93889390390723e-18,0.0713475991333587,29.8896818174032,36.3103181825968,88,88,0.936899492023633,1.13224057186945
10,0.5,0.6,0.3,0.001,50,1,0,1,40.36,1,9.11325565160051,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,37.7700414004864,42.9499585995136,1,1,NA,NA
10,0.5,0.6,0.3,0.01,50,1,0,1,40.36,1,9.11325565160051,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,37.7700414004864,42.9499585995136,1,1,NA,NA
10,0.5,0.6,0.3,0.1,50,1,0,1,40.78,4,9.38798624382704,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,38.1119638300672,43.4480361699328,4,4,NA,NA
10,0.5,0.6,0.3,0.5,50,1,0,0.98,42.46,23,10.2403961976925,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.895045564103622,0.996460740728354,39.5497116015854,45.3702883984146,23,23,NA,NA
10,0.5,0.6,0.3,1,50,1,1,0,46.08,88,10.5981130395934,0,50,0.673242357920445,0.231913122480971,50,0.928652400866641,1,6.93889390390723e-18,0.0713475991333587,43.0680495999593,49.0919504000407,88,88,0.607333377763157,0.739151338077733
10,0.5,0.6,0.4,0.001,50,1,0,1,63.38,1,15.7931656621671,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,58.891631980489,67.868368019511,1,1,NA,NA
10,0.5,0.6,0.4,0.01,50,1,0,1,63.38,1,15.7931656621671,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,58.891631980489,67.868368019511,1,1,NA,NA
10,0.5,0.6,0.4,0.1,50,1,0,1,63.38,4,15.7931656621671,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,58.891631980489,67.868368019511,4,4,NA,NA
10,0.5,0.6,0.4,0.5,50,1,0,1,63.8,23,15.3223859174765,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,59.4454261035611,68.1545738964389,23,23,NA,NA
10,0.5,0.6,0.4,1,50,1,0.56,0,69.8,88,16.8013604891305,0,50,0.467109284456402,0.12051936775288,28,0.423060280216569,0.688378007887428,6.93889390390723e-18,0.0713475991333587,65.0251061809389,74.5748938190611,88,88,0.420376752273933,0.513841816638871
10,0.5,0.7,0.2,0.001,50,1,0,1,24.44,1,5.54079490355538,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,22.8653235114628,26.0146764885372,1,1,NA,NA
10,0.5,0.7,0.2,0.01,50,1,0,1,24.44,1,5.54079490355538,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,22.8653235114628,26.0146764885372,1,1,NA,NA
10,0.5,0.7,0.2,0.1,50,1,0,1,24.18,4,5.28644782554835,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,22.6776081512369,25.6823918487631,4,4,NA,NA
10,0.5,0.7,0.2,0.5,50,1,0.08,0.2,24.96,23,5.98283258283948,0,50,0.42744401482694,0,4,0.031549514088593,0.188382469183428,0.112437500157761,0.330371059322254,23.2596977929996,26.6603022070004,23,23,0.42744401482694,0.42744401482694
10,0.5,0.7,0.2,1,50,1,1,0,25.74,88,6.51155957995205,0,50,1.2595516918782,0.247505260844917,50,0.928652400866641,1,6.93889390390723e-18,0.0713475991333587,23.8894352430045,27.5905647569955,88,88,1.18921147502742,1.32989190872898
10,0.5,0.7,0.3,0.001,50,1,0,1,29.86,1,6.81238368183791,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,27.9239419791912,31.7960580208088,1,1,NA,NA
10,0.5,0.7,0.3,0.01,50,1,0,1,29.86,1,6.81238368183791,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,27.9239419791912,31.7960580208088,1,1,NA,NA
10,0.5,0.7,0.3,0.1,50,1,0,1,29.86,4,6.81238368183791,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,27.9239419791912,31.7960580208088,4,4,NA,NA
10,0.5,0.7,0.3,0.5,50,1,0.02,0.64,31.16,23,6.61278909325231,0,50,0.42744401482694,NA,1,0.00353925927164624,0.104954435896378,0.501410168761127,0.758612503481533,29.2806661336412,33.0393338663588,23,23,NA,NA
10,0.5,0.7,0.3,1,50,1,1,0,31.68,88,6.45689000769167,0,50,1.04573466752726,0.23138457310831,50,0.928652400866641,1,6.93889390390723e-18,0.0713475991333587,29.8449721635322,33.5150278364678,88,88,0.979975899439657,1.11149343561486
10,0.5,0.7,0.4,0.001,50,1,0,1,39.74,1,10.5343170986398,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,36.7461802057717,42.7338197942283,1,1,NA,NA
10,0.5,0.7,0.4,0.01,50,1,0,1,40.16,1,10.7975053808266,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,37.0913829235709,43.2286170764291,1,1,NA,NA
10,0.5,0.7,0.4,0.1,50,1,0,1,40.16,4,10.7975053808266,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,37.0913829235709,43.2286170764291,4,4,NA,NA
10,0.5,0.7,0.4,0.5,50,1,0,0.9,42.26,23,11.8007436638717,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.786397685625204,0.95652423506811,38.9062657582165,45.6137342417835,23,23,NA,NA
10,0.5,0.7,0.4,1,50,1,1,0,45.98,88,11.4133648832929,0,50,0.681972700233955,0.264836585053403,50,0.928652400866641,1,6.93889390390723e-18,0.0713475991333587,42.7363575895428,49.2236424104572,88,88,0.60670697554155,0.75723842492636
10,1,0.5,0.2,0.001,50,1,0,1,46.02,1,12.4170554201116,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,42.4911118950881,49.5488881049119,1,1,NA,NA
10,1,0.5,0.2,0.01,50,1,0,1,46.02,1,12.4170554201116,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,42.4911118950881,49.5488881049119,1,1,NA,NA
10,1,0.5,0.2,0.1,50,1,0,1,46.7,4,12.0564150084983,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,43.2736047660333,50.1263952339667,4,4,NA,NA
10,1,0.5,0.2,0.5,50,1,0,0.98,55.2,23,16.5701969985703,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.895045564103622,0.996460740728354,50.4908021180615,59.9091978819385,23,23,NA,NA
10,1,0.5,0.2,1,50,1,0.62,0.04,68.04,88,23.4963827003222,0,50,0.537679698217772,0.227164312280152,31,0.48150446930993,0.741372106898064,0.0110388843276198,0.13460090687507,61.3624019210442,74.7175980789558,88,88,0.454355155763795,0.621004240671748
10,1,0.5,0.3,0.001,50,1,0,1,77.6,1,24.588034255943,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,70.6121579816397,84.5878420183603,1,1,NA,NA
10,1,0.5,0.3,0.01,50,1,0,1,79.64,1,27.3822227448573,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,71.8580583994279,87.4219416005721,1,1,NA,NA
10,1,0.5,0.3,0.1,50,1,0,1,80.66,4,27.9004132805321,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,72.7307902786415,88.5892097213585,4,4,NA,NA
10,1,0.5,0.3,0.5,50,1,0,1,98.02,23,36.1151729095364,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,87.7561814234252,108.283818576575,23,23,NA,NA
10,1,0.5,0.3,1,50,1,0.12,0.6,123.82,88,46.4286549449798,0,50,0.51087426820673,0.187603287881625,6,0.0561760015093228,0.23804817383203,0.461814377475894,0.723916102697434,110.62512225974,137.01487774026,88,88,0.313996691742086,0.707751844671374
10,1,0.5,0.4,0.001,50,0.98,0,0.98,501.69387755102,1,539.428293198829,0,49,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.895045564103622,0.996460740728354,346.751981043666,656.635774058374,1,1,NA,NA
10,1,0.5,0.4,0.01,50,0.98,0,0.98,483.938775510204,1,536.405607111014,0,49,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.895045564103622,0.996460740728354,329.865095818499,638.012455201909,1,1,NA,NA
10,1,0.5,0.4,0.1,50,0.98,0,0.98,486.938775510204,4,549.794711997247,0,49,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.895045564103622,0.996460740728354,329.019295867394,644.858255153014,4,4,NA,NA
10,1,0.5,0.4,0.5,50,0.98,0,0.98,667.551020408163,23,682.623586528003,0,49,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.895045564103622,0.996460740728354,471.478633344261,863.623407472065,23,23,NA,NA
10,1,0.5,0.4,1,50,0.98,0,0.96,1055.61224489796,88,1166.06001161187,0,49,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.86539909312493,0.98896111567238,720.680703637597,1390.54378615832,88,88,NA,NA
10,1,0.6,0.2,0.001,50,1,0,1,33.72,1,8.49018641174164,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,31.3071157192105,36.1328842807895,1,1,NA,NA
10,1,0.6,0.2,0.01,50,1,0,1,33.72,1,8.49018641174164,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,31.3071157192105,36.1328842807895,1,1,NA,NA
10,1,0.6,0.2,0.1,50,1,0,1,34.14,4,9.10261231847255,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,31.5530662022934,36.7269337977066,4,4,NA,NA
10,1,0.6,0.2,0.5,50,1,0.02,0.78,38.02,23,12.1377972651128,0,50,0.42744401482694,NA,1,0.00353925927164624,0.104954435896378,0.647584504187463,0.872460840297856,34.5704761846103,41.4695238153897,23,23,NA,NA
10,1,0.6,0.2,1,50,1,1,0,40.58,88,12.5634552637109,0,50,0.826588752367848,0.34074508440261,50,0.928652400866641,1,6.93889390390723e-18,0.0713475991333587,37.0095055198921,44.1504944801079,88,88,0.729750070854999,0.923427433880697
10,1,0.6,0.3,0.001,50,1,0,1,50.14,1,16.3282777126439,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,45.4995548184056,54.7804451815944,1,1,NA,NA
10,1,0.6,0.3,0.01,50,1,0,1,50.14,1,16.3282777126439,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,45.4995548184056,54.7804451815944,1,1,NA,NA
10,1,0.6,0.3,0.1,50,1,0,1,49.1,4,15.5027976408736,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,44.6941536590771,53.5058463409229,4,4,NA,NA
10,1,0.6,0.3,0.5,50,1,0.02,0.96,58.72,23,19.5427736004898,0,50,0.42744401482694,NA,1,0.00353925927164624,0.104954435896378,0.86539909312493,0.98896111567238,53.1660051950758,64.2739948049242,23,23,NA,NA
10,1,0.6,0.3,1,50,1,0.58,0.04,68.28,88,24.8243132958848,0,50,0.591241662932671,0.301543418433098,29,0.442334417685782,0.70624996645288,0.0110388843276198,0.13460090687507,61.2250082214687,75.3349917785313,88,88,0.476540680882618,0.705942644982724
10,1,0.6,0.4,0.001,50,1,0,1,85.42,1,26.3540183978513,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,77.930270841654,92.909729158346,1,1,NA,NA
10,1,0.6,0.4,0.01,50,1,0,1,84.8,1,26.6550144610422,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,77.2247287069786,92.3752712930214,1,1,NA,NA
10,1,0.6,0.4,0.1,50,1,0,1,86.04,4,26.0344826281278,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,78.6410819026279,93.4389180973721,4,4,NA,NA
10,1,0.6,0.4,0.5,50,1,0,1,103.18,23,32.7331137335555,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,93.8773520063394,112.482647993661,23,23,NA,NA
10,1,0.6,0.4,1,50,1,0.06,0.64,126.58,88,40.8816559830735,0,50,0.434285546643656,0,3,0.020614970348974,0.162170916888382,0.501410168761127,0.758612503481533,114.961561922152,138.198438077848,88,88,0.434285546643656,0.434285546643656
10,1,0.7,0.2,0.001,50,1,0,1,28.98,1,6.54494664077655,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,27.119946745304,30.840053254696,1,1,NA,NA
10,1,0.7,0.2,0.01,50,1,0,1,28.98,1,6.54494664077655,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,27.119946745304,30.840053254696,1,1,NA,NA
10,1,0.7,0.2,0.1,50,1,0,1,28.72,4,6.51854497349129,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,26.8674500161263,30.5725499838737,4,4,NA,NA
10,1,0.7,0.2,0.5,50,1,0,0.6,31.22,23,7.39357139406821,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.461814377475894,0.723916102697434,29.1187702589226,33.3212297410774,23,23,NA,NA
10,1,0.7,0.2,1,50,1,1,0,33.98,88,7.19549178589041,0,50,0.97400202180289,0.217070135083211,50,0.928652400866641,1,6.93889390390723e-18,0.0713475991333587,31.9350638607046,36.0249361392954,88,88,0.912311371990208,1.03569267161557
