"mu","sigma","item_overlap","class_overlap","add_k","zipf_s","n_preferred","frac_detected","frac_ob_lt_ow","frac_ow_lt_ob","frac_tie","mean_ob_nobs","mean_ow_nobs","mean_log_ratio"
10,0.5,0.5,0.2,0.001,0.5,50,1,0,1,0,2981.58,71,NA
30,0.5,0.5,0.2,0.001,0.5,50,1,0,1,0,1086.68,71,NA
60,0.5,0.5,0.2,0.001,0.5,50,1,0,1,0,834.32,71,NA
100,0.5,0.5,0.2,0.001,0.5,50,1,0,1,0,766.28,71,NA
10,1,0.5,0.2,0.001,0.5,50,1,0,1,0,3752.6,71,NA
30,1,0.5,0.2,0.001,0.5,50,1,0,1,0,1302.74,71,NA
60,1,0.5,0.2,0.001,0.5,50,1,0,1,0,982.22,71,NA
100,1,0.5,0.2,0.001,0.5,50,1,0,1,0,849.44,71,NA
10,1.5,0.5,0.2,0.001,0.5,50,1,0,1,0,23974.44,71,NA
30,1.5,0.5,0.2,0.001,0.5,50,1,0,1,0,1739.46,71,NA
60,1.5,0.5,0.2,0.001,0.5,50,1,0,1,0,1273.98,71,NA
100,1.5,0.5,0.2,0.001,0.5,50,1,0,1,0,1064,71,NA
10,0.5,0.6,0.2,0.001,0.5,50,1,0,1,0,2125.22,71,NA
30,0.5,0.6,0.2,0.001,0.5,50,1,0,1,0,932.6,71,NA
60,0.5,0.6,0.2,0.001,0.5,50,1,0,1,0,711.28,71,NA
100,0.5,0.6,0.2,0.001,0.5,50,1,0,1,0,619.8,71,NA
10,1,0.6,0.2,0.001,0.5,50,1,0,1,0,2332.38,71,NA
30,1,0.6,0.2,0.001,0.5,50,1,0,1,0,977.96,71,NA
60,1,0.6,0.2,0.001,0.5,50,1,0,1,0,753.9,71,NA
100,1,0.6,0.2,0.001,0.5,50,1,0,1,0,678.96,71,NA
10,1.5,0.6,0.2,0.001,0.5,50,1,0,1,0,3910.6,71,NA
30,1.5,0.6,0.2,0.001,0.5,50,1,0,1,0,1267.28,71,NA
60,1.5,0.6,0.2,0.001,0.5,50,1,0,1,0,989.78,71,NA
100,1.5,0.6,0.2,0.001,0.5,50,1,0,1,0,854.36,71,NA
10,0.5,0.7,0.2,0.001,0.5,50,1,0,1,0,1849,71,NA
30,0.5,0.7,0.2,0.001,0.5,50,1,0,1,0,804.08,71,NA
60,0.5,0.7,0.2,0.001,0.5,50,1,0,1,0,597.42,71,NA
100,0.5,0.7,0.2,0.001,0.5,50,1,0,1,0,515.48,71,NA
10,1,0.7,0.2,0.001,0.5,50,1,0,1,0,2007.62,71,NA
30,1,0.7,0.2,0.001,0.5,50,1,0,1,0,814.38,71,NA
60,1,0.7,0.2,0.001,0.5,50,1,0,1,0,624.62,71,NA
100,1,0.7,0.2,0.001,0.5,50,1,0,1,0,576.42,71,NA
10,1.5,0.7,0.2,0.001,0.5,50,1,0,1,0,3006.36,71,NA
30,1.5,0.7,0.2,0.001,0.5,50,1,0,1,0,1037.06,71,NA
60,1.5,0.7,0.2,0.001,0.5,50,1,0,1,0,753.9,71,NA
100,1.5,0.7,0.2,0.001,0.5,50,1,0,1,0,673.48,71,NA
10,0.5,0.5,0.3,0.001,0.5,50,1,0,1,0,5570.66,71,NA
30,0.5,0.5,0.3,0.001,0.5,50,1,0,1,0,1703.44,71,NA
60,0.5,0.5,0.3,0.001,0.5,50,1,0,1,0,1208.3,71,NA
100,0.5,0.5,0.3,0.001,0.5,50,1,0,1,0,1088.86,71,NA
10,1,0.5,0.3,0.001,0.5,50,1,0,1,0,7443.24,71,NA
30,1,0.5,0.3,0.001,0.5,50,1,0,1,0,1954.44,71,NA
60,1,0.5,0.3,0.001,0.5,50,1,0,1,0,1437.08,71,NA
100,1,0.5,0.3,0.001,0.5,50,1,0,1,0,1190.98,71,NA
10,1.5,0.5,0.3,0.001,0.5,50,0.4,0,0.4,0,83739.4,71,NA
30,1.5,0.5,0.3,0.001,0.5,50,1,0,1,0,2987.7,71,NA
60,1.5,0.5,0.3,0.001,0.5,50,1,0,1,0,1975.58,71,NA
100,1.5,0.5,0.3,0.001,0.5,50,1,0,1,0,1644.34,71,NA
10,0.5,0.6,0.3,0.001,0.5,50,1,0,1,0,3319.78,71,NA
30,0.5,0.6,0.3,0.001,0.5,50,1,0,1,0,1105.5,71,NA
60,0.5,0.6,0.3,0.001,0.5,50,1,0,1,0,854.92,71,NA
100,0.5,0.6,0.3,0.001,0.5,50,1,0,1,0,736.7,71,NA
10,1,0.6,0.3,0.001,0.5,50,1,0,1,0,3603.2,71,NA
30,1,0.6,0.3,0.001,0.5,50,1,0,1,0,1197.92,71,NA
60,1,0.6,0.3,0.001,0.5,50,1,0,1,0,932.64,71,NA
100,1,0.6,0.3,0.001,0.5,50,1,0,1,0,874.5,71,NA
10,1.5,0.6,0.3,0.001,0.5,50,1,0,1,0,19688.3,71,NA
30,1.5,0.6,0.3,0.001,0.5,50,1,0,1,0,1713.54,71,NA
60,1.5,0.6,0.3,0.001,0.5,50,1,0,1,0,1122.18,71,NA
100,1.5,0.6,0.3,0.001,0.5,50,1,0,1,0,1106.86,71,NA
10,0.5,0.7,0.3,0.001,0.5,50,1,0,1,0,2250.56,71,NA
30,0.5,0.7,0.3,0.001,0.5,50,1,0,1,0,970.52,71,NA
60,0.5,0.7,0.3,0.001,0.5,50,1,0,1,0,704.96,71,NA
100,0.5,0.7,0.3,0.001,0.5,50,1,0,1,0,649.02,71,NA
10,1,0.7,0.3,0.001,0.5,50,1,0,1,0,2799.64,71,NA
30,1,0.7,0.3,0.001,0.5,50,1,0,1,0,989.22,71,NA
60,1,0.7,0.3,0.001,0.5,50,1,0,0.98,0.02,741.96,71,NA
100,1,0.7,0.3,0.001,0.5,50,1,0,1,0,681.7,71,NA
10,1.5,0.7,0.3,0.001,0.5,50,1,0,1,0,4375.4,71,NA
30,1.5,0.7,0.3,0.001,0.5,50,1,0,1,0,1345.76,71,NA
60,1.5,0.7,0.3,0.001,0.5,50,1,0,1,0,1005.3,71,NA
100,1.5,0.7,0.3,0.001,0.5,50,1,0,1,0,896.98,71,NA
10,0.5,0.5,0.4,0.001,0.5,50,1,0,1,0,209852.28,71,NA
30,0.5,0.5,0.4,0.001,0.5,50,1,0,1,0,4174.68,71,NA
60,0.5,0.5,0.4,0.001,0.5,50,1,0,1,0,2744.04,71,NA
100,0.5,0.5,0.4,0.001,0.5,50,1,0,1,0,2421.7,71,NA
10,1,0.5,0.4,0.001,0.5,50,0.32,0,0.32,0,142114.6875,71,NA
30,1,0.5,0.4,0.001,0.5,50,1,0,1,0,6691.98,71,NA
60,1,0.5,0.4,0.001,0.5,50,1,0,1,0,4039.02,71,NA
100,1,0.5,0.4,0.001,0.5,50,1,0,1,0,3174.24,71,NA
10,1.5,0.5,0.4,0.001,0.5,50,0.06,0,0.06,0,121754,71,NA
30,1.5,0.5,0.4,0.001,0.5,50,0.8,0,0.8,0,23240.6,71,NA
60,1.5,0.5,0.4,0.001,0.5,50,1,0,1,0,8855.08,71,NA
100,1.5,0.5,0.4,0.001,0.5,50,1,0,1,0,7312.84,71,NA
10,0.5,0.6,0.4,0.001,0.5,50,1,0,1,0,5588.96,71,NA
30,0.5,0.6,0.4,0.001,0.5,50,1,0,1,0,1764.68,71,NA
60,0.5,0.6,0.4,0.001,0.5,50,1,0,1,0,1324.56,71,NA
100,0.5,0.6,0.4,0.001,0.5,50,1,0,1,0,1095.2,71,NA
10,1,0.6,0.4,0.001,0.5,50,1,0,1,0,12735.68,71,NA
30,1,0.6,0.4,0.001,0.5,50,1,0,1,0,2033.34,71,NA
60,1,0.6,0.4,0.001,0.5,50,1,0,1,0,1586.9,71,NA
100,1,0.6,0.4,0.001,0.5,50,1,0,1,0,1363.42,71,NA
10,1.5,0.6,0.4,0.001,0.5,50,0.42,0,0.42,0,29241.8571428571,71,NA
30,1.5,0.6,0.4,0.001,0.5,50,1,0,1,0,3221.26,71,NA
60,1.5,0.6,0.4,0.001,0.5,50,1,0,1,0,2149.3,71,NA
100,1.5,0.6,0.4,0.001,0.5,50,1,0,1,0,1709.84,71,NA
10,0.5,0.7,0.4,0.001,0.5,50,1,0,1,0,3281.2,71,NA
30,0.5,0.7,0.4,0.001,0.5,50,1,0,1,0,1231.82,71,NA
60,0.5,0.7,0.4,0.001,0.5,50,1,0,1,0,932.6,71,NA
100,0.5,0.7,0.4,0.001,0.5,50,1,0,1,0,841.52,71,NA
10,1,0.7,0.4,0.001,0.5,50,1,0,1,0,3835.04,71,NA
30,1,0.7,0.4,0.001,0.5,50,1,0,1,0,1394.62,71,NA
60,1,0.7,0.4,0.001,0.5,50,1,0,1,0,1004.9,71,NA
100,1,0.7,0.4,0.001,0.5,50,1,0,1,0,947.16,71,NA
10,1.5,0.7,0.4,0.001,0.5,50,0.98,0,0.98,0,20357.4693877551,71,NA
30,1.5,0.7,0.4,0.001,0.5,50,1,0,1,0,1830.7,71,NA
60,1.5,0.7,0.4,0.001,0.5,50,1,0,1,0,1374.38,71,NA
100,1.5,0.7,0.4,0.001,0.5,50,1,0,1,0,1115.38,71,NA
10,0.5,0.5,0.2,0.01,0.5,50,1,0,1,0,3941.48,71,NA
30,0.5,0.5,0.2,0.01,0.5,50,1,0,1,0,1687.44,71,NA
