"mu","sigma","item_overlap","class_overlap","add_k","zipf_s","n_preferred","frac_detected","frac_ob_lt_ow","frac_ow_lt_ob","frac_tie","mean_ob_nobs","mean_ow_nobs","sd_ob_nobs","sd_ow_nobs","n_both","mean_log_ratio","sd_log_ratio","n_ob_lt_ow","frac_ob_lt_ow_ci_lo","frac_ob_lt_ow_ci_hi","frac_ow_lt_ob_ci_lo","frac_ow_lt_ob_ci_hi","mean_ob_nobs_ci_lo","mean_ob_nobs_ci_hi","mean_ow_nobs_ci_lo","mean_ow_nobs_ci_hi","mean_log_ratio_ci_lo","mean_log_ratio_ci_hi"
10,0.5,0.5,0.2,0.001,0.5,50,1,0,1,0,2981.58,71,787.17604519094,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,2757.86704323517,3205.29295676483,71,71,NA,NA
10,0.5,0.5,0.2,0.001,1,50,1,0,1,0,5955.58,71,2160.40860732692,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,5341.59866721178,6569.56133278822,71,71,NA,NA
10,0.5,0.5,0.2,0.001,1.5,50,1,0,1,0,35752.96,71,28885.6677242524,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,27543.744063873,43962.175936127,71,71,NA,NA
10,0.5,0.5,0.2,0.01,0.5,50,1,0,1,0,3941.48,71,521.039982013994,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,3793.40207552407,4089.55792447593,71,71,NA,NA
10,0.5,0.5,0.2,0.01,1,50,1,0,1,0,7228.12,71,1827.14142343292,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,6708.85215291437,7747.38784708563,71,71,NA,NA
10,0.5,0.5,0.2,0.01,1.5,50,1,0,1,0,29423.42,71,8742.45798362853,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,26938.8409317492,31907.9990682508,71,71,NA,NA
10,0.5,0.5,0.2,0.1,0.5,50,1,0,1,0,9647.48,174,955.894179951581,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,9375.81787987109,9919.14212012891,174,174,NA,NA
10,0.5,0.5,0.2,0.1,1,50,1,0,1,0,21885.04,174,4856.54898033237,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,20504.8240512285,23265.2559487715,174,174,NA,NA
10,0.5,0.5,0.2,0.1,1.5,50,1,0,1,0,73405.08,270.04,19287.3818589528,13.8592929112563,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,67923.6667249402,78886.4932750598,266.101232535227,273.978767464773,NA,NA
10,0.5,0.5,0.2,0.5,0.5,50,1,0,1,0,16766.2,1637,4964.16692560858,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,15355.3993695861,18177.0006304139,1637,1637,NA,NA
